Titre,Est tête d'arborescence,Terme Générique,Verbalisation française,Description   
"Geography, Physical",n/a,Science Citation Index Expanded,"Géographie, Physique","Geography, Physical covers resources dealing with the differentiation of areas of the Earth's surface as shown in the character, arrangement, and interrelations over the world of such elements as climate, elevation, soil, vegetation, population, land use, industries, or states, as well as the unit areas formed by the complex of these individual elements. Resources which focus on economic, human, and urban topics are covered in the SSCI GEOGRAPHY category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Geology,n/a,Science Citation Index Expanded,Géologie,"Geology covers resources that deal with the physical history of the Earth, the rock of which it is composed, and the physical changes (not the physics) that the Earth has undergone or is undergoing. Resources in this category cover sedimentology, stratigraphy, hydrogeology, ore geology, structural geology, regional geology, and petrology. These resources are somewhat narrow in scope and are not given to the interdisciplinary study of the Earth Sciences. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Geosciences, Multidisciplinary",n/a,Science Citation Index Expanded,"Géosciences, Multidisciplinaires","Geosciences, Multidisciplinary covers resources having a general or interdisciplinary approach to the study of the Earth and other planets. Relevant topics include geology, geochemistry/geophysics, hydrology, paleontology, oceanography, meteorology, mineralogy, geography, and energy and fuels. Resources having a primary focus on geology, or geochemistry & geophysics are placed in their own categories. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Geriatrics & Gerontology,n/a,Science Citation Index Expanded,Gériatrie & Gérontologie,"Geriatrics & Gerontology covers resources on the aged and the aging process. This category includes the clinical, biochemical, histological, and psychological aspects of aging. Coverage also includes specific clinical problems in the treatment of elderly patients, as well as research on the cellular and animal correlates of age and senescence. Resources that focus on the psychological, social, and political aspects of aging are covered in the SSCI. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Green & Sustainable Science & Technology,n/a,Science Citation Index Expanded,Science & Technologie vertes et durables,"This category covers resources that focus on basic and applied research on green and sustainable science and technology, including green chemistry; green nanotechnology; green building; renewable and green materials; sustainable processing and engineering; sustainable policy, management and development; environmental and agricultural sustainability; renewable and sustainable energy; and innovative technologies that reduce or eliminate damage to health and the environment. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Health Care Sciences & Services,n/a,Science Citation Index Expanded,Services & Sciences de la santé,"Health Care Sciences & Services covers resources on health services, hospital administration, health care management, health care financing, health policy and planning, health economics, health education, history of medicine, and palliative care. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Hematology,n/a,Science Citation Index Expanded,Hématologie,"Hematology covers resources that deal with blood and blood-forming tissues, as well as the functions, diseases, and treatments of these systems. Topics included are hemophilia, neoplastic disorders of the blood or lymphoid tissues, and mechanisms and disorders of thrombosis. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History & Philosophy of Science,n/a,Science Citation Index Expanded,Histoire et Philosophie de la Science,History & Philosophy of Science covers resources on the historical and logical connections in the development of the scientific method and in scientific discoveries. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/
Horticulture,n/a,Science Citation Index Expanded,Horticulture,"Horticulture covers resources concerning the cultivation of flowers, fruits, vegetables or ornamental plants, in gardens, orchards or nurseries. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Imaging Science & Photographic Technology,n/a,Science Citation Index Expanded,Science de l'imagerie et Technologie photographique,"Imaging Science & Photographic Technology includes resources that cover pattern recognition, analog and digital signal processing, remote sensing, and optical technology. This category also covers resources on the photographic process (the engineering of photographic devices and the chemistry of photography) as well as machine-aided imaging, recording materials and media, and visual communication and image representation.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Immunology,n/a,Science Citation Index Expanded,Immunologie,"Immunology covers resources dedicated to all aspects of immune response and regulation, at the cellular-molecular level as well as the clinical level. Other topics include studies of the interaction between pathogens and host immunity, as well as clinical immunology, emerging immunotherapies, and the immunologic contribution to disease course. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Infectious Diseases,n/a,Science Citation Index Expanded,Maladies infectieuses,"Infectious Diseases covers resources on all aspects of the pathogenesis of clinically significant viral or bacterial diseases including HIV, AIDS, sexually transmitted diseases (STDs). This category is also concerned with resources on host-pathogen interactions, as well as the prevention, diagnosis, treatment, and epidemiology of infectious disease. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Instruments & Instrumentation,n/a,Science Citation Index Expanded,Instruments & Instrumentation,"Instruments & Instrumentation includes resources on the application of instruments for observation, measurement, or control of physical and/or chemical systems. This category also includes materials on the development and manufacture of instruments.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Integrative & Complementary Medicine,n/a,Science Citation Index Expanded,Médecine complémentaire & intégrée,"Integrative & Complementary Medicine covers resources on the practical use of allopathic, alternative and/or complementary medicine and therapies in preventing and treating disease, healing illness, and promoting health. The category is concerned with resources on alternative systems of practice that provide for an overall rational and comprehensive approach to healthcare. Topics such as bioelectromagnetics applications; herbal medicine; diet, nutrition and lifestyle changes; manual healing methods; mind/body interventions; and pharmacological and biological treatment as well as any other unconventional health care practices are included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Limnology,n/a,Science Citation Index Expanded,Limnologie,"Limnology covers resources concerning the study of the physical, chemical, meteorological, biological and ecological aspects of freshwaters. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Logic,n/a,Science Citation Index Expanded,Logique,"Logic covers resources on the study of logic in all its forms, including mathematical logic (pure and applied), philosophical logic and computational logic (or logic in computer science, theoretical and applied). Based on the particular scope of the resource, it may be cross-referenced in a Mathematics, Philosophy or Computer Science category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Marine & Freshwater Biology,n/a,Science Citation Index Expanded,Biologie des eaux douces et des eaux marines,"Marine & Freshwater Biology covers resources concerning many aquatic sciences, including marine ecology and environmental research, aquatic biology, marine pollution and toxicology, aquatic botany and plant management, estuarine and coastal research, diseases of aquatic organisms, molluscan and shellfish research, fish biology and biofouling.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Biomaterials",n/a,Science Citation Index Expanded,"Science des matériaux, Biomatériaux","Materials Science, Biomaterials includes resources that analyze the physical characteristics of living tissue to aid in the development of synthetic replacements for repairs or augmentation of functions. Resources in this category cover the development, testing, performance, and biocompatibility of engineered biomaterials in vitro and in vivo for purposes such as medical implants, devices, and sensors. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Ceramics",n/a,Science Citation Index Expanded,"Science des matériaux, Céramiques","Materials Science, Ceramics covers resources that deal with inorganic materials with high-temperature melting points, including silicates and aluminosilicates, refractory metal oxides and metal nitrides, and borides. This category also includes resources discussing products such as earthenware, porcelain, brick, glass, and vitreous enamels. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Characterization & Testing",n/a,Science Citation Index Expanded,"Science des matériaux, Essais et caractérisation","Materials Science, Characterization & Testing covers resources that focus on techniques used to evaluate and test materials. These techniques include nondestructive testing, diffraction analysis, electron microscopy, electron spectroscopy, ion beam analysis, mechanical testing, optical characterization, and scanning tunneling microscopy. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Coatings & Films",n/a,Science Citation Index Expanded,"Science des matériaux, films et revêtements","Materials Science, Coatings & Films covers resources that concentrate on research in coatings and films applied to a base material (substrate). Metals, alloys, resin solutions, and solid/liquid suspensions are the coatings most commonly used in industry. Application methods include electrolysis, vapor deposition, vacuum, or mechanical means such as spraying, calendering, roller coating, extrusion, or thermosetting.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Composites",n/a,Science Citation Index Expanded,"Science des matériaux, Composites","Materials Science, Composites covers resources that focus on mixtures or mechanical combinations of two or more materials that are solid in the finished state, are mutually insoluble, and differ in chemical nature. The major types of composites are 1) laminates of paper, fabric, or wood and a thermosetting material; 2) reinforced plastics; 3) cermets (ceramic and metal powders); 4) fabrics of natural and synthetic fibers; and 5) filled composites, in which a bonding material is loaded with filler in the form of flakes or small particles. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Multidisciplinary",n/a,Science Citation Index Expanded,"Science des matériaux, Multidisciplinaire","Materials Science, Multidisciplinary covers resources having a general or multidisciplinary approach to the study of the nature, behavior, and use of materials. Relevant topics include ceramics, composites, alloys, metals and metallurgy, nanotechnology, nuclear materials, and adhesion and adhesives. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Paper & Wood",n/a,Science Citation Index Expanded,"Science des matériaux, Bois & Papier","Materials Science, Paper & Wood includes resources that cover all aspects of wood and/or paper production. Topics include cellulose chemistry and technology, pulp and paper science, paper fabrication techniques, and wood and fiber science and technology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Materials Science, Textiles",n/a,Science Citation Index Expanded,"Science des matériaux, Textiles","Materials Science, Textiles covers resources that focus on the manufacture of clothing and furniture from materials made of natural fibers (e.g., leather, cotton, wool, wood) and/or synthetic fibers (e.g., polyester, vinyl, nylon). Resources covering dyes and colors and fiber chemistry are also included. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mathematical & Computational Biology,n/a,Science Citation Index Expanded,Biologie informatique et mathématique,"Mathematical and Computational Biology includes resources concerning the use of mathematical, statistical and computational methods to address data analysis, modeling, and information management in biological problems, processes and systems. Among the areas covered are biostatistics, bioinformatics, biometrics, modeling of biological systems, and computational biology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mathematics,n/a,Science Citation Index Expanded,Mathématiques,"Mathematics covers resources having a broad, general approach to the field. The category also includes resources focusing on specific fields of basic research in Mathematics such as topology, algebra, functional analysis, combinatorial theory, differential geometry and number theory. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Mathematics, Applied",n/a,Science Citation Index Expanded,"Mathématiques, Appliquées","Mathematics, Applied covers resources concerned with areas of mathematics that may be applied to other fields of science. It includes areas such as differential equations, numerical analysis, nonlinearity, control, software, systems analysis, computational mathematics and mathematical modeling. Resources that are concerned with mathematical methods and whose primary focus is on a specific non-mathematics discipline (except biology) such as psychology, history, economics etc., are covered in the MATHEMATICS, INTERDISCIPLINARY APPLICATIONS category. Resources focusing on mathematical biology are covered in the MATHEMATICAL & COMPUTATIONAL BIOLOGY category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Mathematics, Interdisciplinary Applications",n/a,Science Citation Index Expanded,"Mathématiques, Applications interdisciplinaires","Mathematics, Interdisciplinary Applications includes resources concerned with mathematical methods whose primary focus is on a specific non-mathematics discipline (except biology) such as psychology, history, economics, etc. Resources that deal with mathematical biology are covered in the MATHEMATICAL AND COMPUTATIONAL BIOLOGY category. Resources that focus on specific mathematical topics such as differential equations, numerical analysis, nonlinearity, etc., are covered in the MATHEMATICS, APPLIED category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mechanics,n/a,Science Citation Index Expanded,Mécanique,"Mechanics includes resources that cover the study of the behavior of physical systems under the action of forces. Relevant topics in this category include fluid mechanics, solid mechanics, gas mechanics, mathematical modeling (chaos and fractals, finite element analysis), thermal engineering, fracture mechanics, heat and mass flow and transfer, phase equilibria studies, plasticity, adhesion, rheology, gravity effects, vibration effects, and wave motion analysis. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Medical Ethics,n/a,Science Citation Index Expanded,Ethique médicale,Medical Ethics covers resources on all aspects of ethics in health care and medicine. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/
Medical Informatics,n/a,Science Citation Index Expanded,Informatique médicale,"Medical Informatics covers resources on health care information in clinical studies and medical research. This category includes resources on the evaluation, assessment, and use of health care technology, its consequences for patients, and its impact on society. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Medical Laboratory Technology,n/a,Science Citation Index Expanded,Technologie de laboratoire médical,"Medical Laboratory Technology covers resources on the testing, methods, and equipment used in clinical, medical, hospital, and pathology laboratories, including clinical chemistry and biochemical analysis of laboratory samples. Resources on the development and refinement of the diagnostic technologies used in these laboratories are also covered. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Medicine, General & Internal",n/a,Science Citation Index Expanded,"Médecine, Interne & Générale","Medicine, General & Internal covers resources on medical specialties such as general medicine, internal medicine, clinical physiology, pain management, military and hospital medicine. Resources focusing on family medicine and primary health care services are placed in the Primary Health Care category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Medicine, Legal",n/a,Science Citation Index Expanded,"Médecine, Légale","Medicine, Legal covers resources on all aspects of medical legal issues, including government regulations and policies, malpractice, toxicological and pharmacological regulations, clinical therapeutic patents and other critical legal issues at the interface of law, medicine, and healthcare. The category also covers resources dealing with the various branches of forensic science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Medicine, Research & Experimental",n/a,Science Citation Index Expanded,"Médecine, Expérimentale & recherche médicale","Medicine, Research & Experimental includes resources describing general medical research with a particular emphasis on extremely novel techniques and clinical interventions in a broad range of medical specializations and applications, including vaccine development, tissue replacement, immunotherapies, and other experimental therapeutic strategies. Resources in this category reflect clinical interventions that are in early stages of development, using in vitro or animal models, and small-scale clinical trials. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Metallurgy & Metallurgical Engineering,n/a,Science Citation Index Expanded,Métallurgie & Génie métallurgique,"Metallurgy & Metallurgical Engineering includes resources that cover the numerous chemical and physical processes used to isolate a metallic element from its naturally occurring state, refine it, and convert it into a useful alloy or product. Topics in this category include corrosion prevention and control, hydrometallurgy, pyrometallurgy, electrometallurgy, phase equilibria, iron-making, steel-making, oxidation, plating and finishing, powder metallurgy, and welding. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Meteorology & Atmospheric Sciences,n/a,Science Citation Index Expanded,Météorologie & Sciences du climat,"Meteorology & Atmospheric Sciences covers those resources that deal with the atmosphere and its phenomena, especially weather and weather forecasting. Resources in this category are concerned with the atmosphere's temperature, density, winds, clouds, precipitation and other characteristics, as well as the structure and evolution of the atmosphere in terms of external influences and the basic laws of physics. This category also includes resources dealing with climatology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Microbiology,n/a,Science Citation Index Expanded,Microbiologie,"Microbiology includes resources dealing with all aspects of fundamental and applied studies of microorganisms, including bacteria, viruses, and fungi. This category also considers resources on the clinical aspects of the occurrence and treatment of microbial pathogens, basic science studies of microbial biochemistry and function, environmental microbiology, and bacterial/viral uses in biotechnology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Microscopy,n/a,Science Citation Index Expanded,Microscopie,"Microscopy covers those resources that focus on the interpretative application of microscope magnification to the study of materials that cannot be seen properly by the unaided eye. The instruments used in microscopy may be either optical in nature, or use radiation other than light for making enlarged images of minute objects (e.g., an electron microscope). Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mineralogy,n/a,Science Citation Index Expanded,Minéralogie,"Mineralogy includes resources that deal with the science of minerals, their crystallography, physical and chemical properties, classification, and the ways of distinguishing them. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mining & Mineral Processing,n/a,Science Citation Index Expanded,Exploitation minière & Traitement des minerais,"Mining & Mineral Processing includes resources on locating and evaluating mineral deposits; designing and constructing mines; developing mining equipment; supervising mining operations and safety; and extracting, cleaning, sizing, and dressing mined material. Relevant topics in this category include exploration and mining geology, rock mechanics, geophysics, and mining science and technology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Multidisciplinary Sciences,n/a,Science Citation Index Expanded,Sciences multidisciplinaires,"Multidisciplinary Sciences includes resources of a very broad or general character in the sciences. It covers the spectrum of major scientific disciplines such as Physics, Chemistry, Mathematics, Biology, etc. Nature and Science are the preeminent resources in this category and serve as typical examples. The Web site of the National Science Foundation is a good example of a web resource included in this category. Some specialized resources that have a wide range of applications in the sciences also may fall under this category. The journal Fractals---Complex Geometry Patterns and Scaling in Nature and Society would be an example of such a resource. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Mycology,n/a,Science Citation Index Expanded,Mycologie,"Mycology includes resources on topics that range from the general biology of fungi to fungal diseases of humans, animals and plants. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Nanoscience & Nanotechnology,n/a,Science Citation Index Expanded,Nanoscience & Nanotechnologie,"Nanoscience & Nanotechnology includes resources that focus on basic and applied research at the micro and nano level across a variety of disciplines including chemistry, biology, bioengineering, physics, electronics, clinical and medical science, chemical engineering and materials science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Neuroimaging,n/a,Science Citation Index Expanded,Imagerie cérébrale,"Neuroimaging covers resources on the mapping technologies used to treat, diagnose, or monitor brain lesions and mental disorders."
Neurosciences,n/a,Science Citation Index Expanded,Neurosciences,"Neurosciences covers resources on all areas of basic research on the brain, neural physiology, and function in health and disease. The areas of focus include neurotransmitters, neuropeptides, neurochemistry, neural development, and neural behavior. Coverage also includes resources in neuro-endocrine and neuro-immune systems, somatosensory system, motor system and sensory motor integration, autonomic system as well as diseases of the nervous system. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Nuclear Science & Technology,n/a,Science Citation Index Expanded,Science & Technologie nucléaires,"Nuclear Science & Technology covers resources on nuclear energy (fission and fusion processes), nuclear energy and fuel, nuclear power, and nuclear electric power generation. This category also includes resources on nuclear engineering (the branch of technology that applies the nuclear fission process to power generation), nuclear safety, radiation effects, and radioactive waste management. Note: Resources on nuclear physics (low-energy physics) appear in the category PHYSICS, NUCLEAR. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Nursing,n/a,Science Citation Index Expanded,Soins infirmiers,"Nursing covers resources on all aspects of nursing science and practice such as administration, economics, management, education, technological applications and all clinical care specialties. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Nutrition & Dietetics,n/a,Science Citation Index Expanded,Nutrition & Diététique,"Nutrition & Dietetics covers resources concerning many aspects of nutrition, including general nutrition, nutrition and metabolism, nutrition science, clinical nutrition, vitamin research and nutritional biochemistry. Dietetics, the application of nutritional principles, is also included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Obstetrics & Gynecology,n/a,Science Citation Index Expanded,Obstétrique & Gynécologie,"Obstetrics & Gynecology covers resources on the medical fields concerned with female reproductive function and reproductive organs. Obstetrics covers resources on pregnancy, fetal health, labor, and puerperium. Gynecology covers resources on the health and diseases of female sex organs and their impact on women's overall health. This category also includes resources on fertility, infertility, and contraception. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Oceanography,n/a,Science Citation Index Expanded,Océanographie,"Oceanography covers resources concerning the scientific study and exploration of the oceans and seas in all their aspects, including the delimitation of their extent and depth, the physics and chemistry of their waters, and the exploration of their resources. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Oncology,n/a,Science Citation Index Expanded,Oncologie,"Oncology covers resources on the mechanisms, causes, and treatments of cancer including environmental and genetic risk factors, and cellular and molecular carcinogenesis. Aspects of clinical oncology covered include surgical, radiological, chemical, and palliative care. This category is also concerned with resources on cancers of specific systems and organs. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Operations Research & Management Science,n/a,Science Citation Index Expanded,Recherche opérationnelle & Science de la gestion,"Operations Research & Management Science includes resources on the definition, analysis, and solution of complex problems. Relevant topics in this category include mathematical modeling, stochastic modeling, decision theory and systems, optimization theory, logistics, and control theory. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ophthalmology,n/a,Science Citation Index Expanded,Ophtalmologie,"Ophthalmology covers resources on the eye, its diseases, and refractive errors. Coverage includes research on the cornea, retina, and eye diseases. This category also includes resources on physiological optics and optometry as well as reconstructive surgery. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Optics,n/a,Science Citation Index Expanded,Optique,"Optics includes resources that deal with the genesis and propagation of light, the changes that it undergoes and produces, and other phenomena closely associated with it. Resources in this category cover subject areas such as lasers and laser technology, infrared physics and technology, microwave technology, quantum optics, lightwave technology, fiber optics, opto-electronics, and photonics. Resources on photometry and luminescence are also included in this category.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ornithology,n/a,Science Citation Index Expanded,Ornithologie,"Ornithology covers resources concerning many aspects of the study of birds, including avian biology, field ornithology, avian biochemistry and physiology, avian systematics and taxonomy, raptor research, bird behavior and migration. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Orthopedics,n/a,Science Citation Index Expanded,Orthopédie,"Orthopedics covers resources on surgery and medical appliances as a means to preserve or restore function or alleviate pain in the musculoskeletal system, particularly the bones and joints. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Otorhinolaryngology,n/a,Science Citation Index Expanded,Otorhinolaryngologie,"Otorhinolaryngology covers resources on basic and clinical research and medicine of the ears, nose and throat.  Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Paleontology,n/a,Science Citation Index Expanded,Paléontologie,"Paleontology includes resources that focus on the study of life and physical conditions, such as climate and geography, of past geological periods as recorded by fossil remains. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Parasitology,n/a,Science Citation Index Expanded,Parasitologie,"Parasitology covers resources concerning many aspects of the study of parasites, organisms that live in or on other living organisms, deriving benefits for themselves and often causing harm to their hosts. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Pathology,n/a,Science Citation Index Expanded,Pathologie,"Pathology includes resources specializing in the techniques, causes, and developmental effect of disease on living tissue. This category also considers the medical and biomedical applications of histological and cytogenetic methods, the development and use of novel techniques and diagnostic applications, and the pathologic study of specific tissues or diseases. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Pediatrics,n/a,Science Citation Index Expanded,Pédiatrie,"Pediatrics covers resources on basic and clinical research in pediatrics. Numerous pediatric specialties are covered including, cardiology and respiratory systems, dentistry, dermatology, developmental behavior, gastroenterology, hematology, immunology and infectious diseases, neurology, nutrition, oncology, psychiatry, surgery, tropical medicine, urology, and nephrology. Coverage also includes perinatology, neonatology, and adolescent medicine. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Peripheral Vascular Disease,n/a,Science Citation Index Expanded,Maladie vasculaire périphérique,"Peripheral Vascular Disease covers resources on arterial occlusive disease (atherosclerosis or hardening of the arteries), venous obstruction and clotting, venous incompetence/insufficiency, cerebrovascular disease, aneurysms, vasospastic disorders, and other vascular disorders. This category also covers hypertension, circulation, and stroke. Resources on the diagnosis, treatment, and prevention of heart diseases are covered in the Cardiac & Cardiovascular Systems category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Pharmacology & Pharmacy,n/a,Science Citation Index Expanded,Pharmacologie & Pharmacie,"Pharmacology & Pharmacy covers resources on the discovery and testing of bioactive substances, including animal research, clinical experience, delivery systems, and dispensing of drugs. This category also includes resources on the biochemistry, metabolism, and toxic or adverse effects of drugs. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Applied",n/a,Science Citation Index Expanded,"Physique, Appliquée","Physics, Applied covers those resources dealing with the applications of condensed matter, optics, vacuum science, lasers, electronics, cryogenics, magnets and magnetism, acoustical physics, and mechanics. This category also may include resources on physics applications to other sciences, engineering, and industry. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Atomic, Molecular & Chemical",n/a,Science Citation Index Expanded,"Physique, Atomique, Moléculaire & Chimique","Physics, Atomic, Molecular & Chemical includes resources concerned with the physics of atoms and molecules. Topics covered in this category include the structure of atoms and molecules, atomic and molecular interactions with radiation, magnetic resonances and relaxation, Mossbauer effect, and atomic and molecular collision processes and interactions. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Condensed Matter",n/a,Science Citation Index Expanded,"Physique, de la Matière condensée","Physics, Condensed Matter covers resources that deal with the study of the structure and the thermal, mechanical, electrical, magnetic, and optical properties of condensed matter. Topics covered in this category include superconductivity, surfaces, interfaces, thin films, dielectrics, ferroelectrics, and semiconductors. This category also includes resources from the former category of Solid State Physics as well as resources on condensed fluids. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Fluids & Plasmas",n/a,Science Citation Index Expanded,"Physique, des Fluides & des Plasmas","Physics, Fluids & Plasmas covers resources on the kinetic and transport theory of fluids, the physical properties of gases, and the physics of plasmas and electric discharges. This category may include resources on nuclear fusion. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Mathematical",n/a,Science Citation Index Expanded,"Physique, Mathématique","Physics, Mathematical includes resources that focus on mathematical methods in physics. It includes resources on logic, set theory, algebra, group theory, function theory, analysis, geometry, topology, and probability theory that have applications in physics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Multidisciplinary",n/a,Science Citation Index Expanded,"Physique, Multidisciplinaire","Physics, Multidisciplinary covers resources having a general or interdisciplinary approach to physics. This category also includes theoretical and experimental physics as well as special topics that have relevance to many areas of physics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Nuclear",n/a,Science Citation Index Expanded,"Physique, Nucléaire","Physics, Nuclear includes resources on the study of nuclear structure, decay, radioactivity, reactions, and scattering. Resources in this category focus on low-energy physics. High-energy physics is covered in the PHYSICS, PARTICLES & FIELDS category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Physics, Particles & Fields",n/a,Science Citation Index Expanded,"Physique, des Particules & des Champs","Physics, Particles & Fields includes resources on the study of the structure and properties of elementary particles and resonances and their interactions. Resources in this category focus on high-energy physics. Low-energy physics is covered in the PHYSICS, NUCLEAR category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Physiology,n/a,Science Citation Index Expanded,Physiologie,"Physiology includes resources concerned with the normal and pathologic functioning of living cells, tissues, and organisms. Topics include comparative physiology, molecular biochemistry of cell function, applied physiology, and pharmacological intervention in pathophysiological processes. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Plant Sciences,n/a,Science Citation Index Expanded,Phytologie,"Plant Sciences covers resources concerning many aspects of the study of plants including systematic, biochemical, agricultural, and pharmaceutical topics. This category includes materials on higher and lower plants, terrestrial and aquatic plants, plant cells, entire plants, and plant assemblages. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Polymer Science,n/a,Science Citation Index Expanded,Science des polymères,"Polymer Science includes all resources dealing with the study, production, and technology of natural or synthetic polymers. Resources on polymeric materials are also covered in this category.  Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Primary Health Care,n/a,Science Citation Index Expanded,Soins de santé primaires,"Primary Health Care covers resources on all aspects of family medicine and primary health care services, including first contact, health assessments, laboratory and diagnostic procedures, medication management, disease prevention, early diagnosis and treatment and comprehensive strategies to improve the health status of individuals and communities. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Psychiatry,n/a,Science Citation Index Expanded,Psychiatrie,"Psychiatry covers resources on clinical, therapeutic, research, and community aspects of human mental, emotional, and behavioral disorders. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
