Titre,Lbellé en français,Est tête d'arborescence,Terme Générique,Terme Spécifique, Description ,Source,Cette resource dans cat INIST
Economics & Business ,Economie & gestion,n/a,Economic & Social Sciences,"Accounting ; Agricultural Economics & Policy ; Business & Management ; Development Studies ; Econometrics ; Economic Theory ; Economics ; Finance ; Industrial Relations ; Industrial Relations ; Logistics & Transportation ; Marketing ; Sport, Leisure & Tourism",n/a,http://www.science-metrix.com/fr/classification ,n/a
Accounting,Comptabilité,n/a,Economics & Business ,n/a,"La comptabilité est une discipline pratique, consistant à schématiser, répertorier et enregistrer les données chiffrées permettant de refléter et de qualifier, pour un agent ou une entité, aussi bien l'ampleur de son activité économique que ses conséquences sur l'inventaire de son patrimoine. Source:https://fr.wikipedia.org/wiki/Comptabilité",http://www.science-metrix.com/fr/classification ,n/a
Agricultural Economics & Policy,Économie et politique de l'agriculture,n/a,Economics & Business ,n/a,L’économie agricole est la partie de l’économie ou de la science économique qui concerne l’agriculture. L’économie agricole est donc la direction économique qui gère les différents aspects de l’agriculture et du milieu en général. Cette étude concernant l’utilisation optimale du sol s’avère être en corrélation avec les besoins humains. Source: https://fr.wikipedia.org/wiki/économie_agricole,http://www.science-metrix.com/fr/classification ,n/a
Business & Management,Administration et gestion,n/a,Economics & Business ,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
Development Studies,Études du développement,n/a,Economics & Business ,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
Econometrics ,Économétrie,n/a,Economics & Business ,n/a,"L'économétrie est une branche de la science économique qui a pour objectif d'estimer et de tester les modèles économiques1, à partir de données issues de l'observation du fonctionnement réel de l'économie ou provenant d'expériences contrôlées. Source: https://fr.wikipedia.org/wiki/Econométrie",http://www.science-metrix.com/fr/classification ,n/a
Economic Theory,Théorie économique,n/a,Economics & Business ,n/a,"Selon l'économiste français Raymond Barre1, la théorie économique est l'une des composantes de la Science Économique. Elle correspond à la seconde étape de la mise en œuvre de cette discipline. La science économique implique en effet une démarche rigoureuse qui s'organise en 4 stades successifs : « L'observation économique ; la théorie et l'analyse économiques ; l'orientation de la politique économique ; les règles d'utilisation optimales. » Source: https://fr.wikipedia.org/wiki/Théorie_économique",http://www.science-metrix.com/fr/classification ,n/a
Economics,Économie,n/a,Economics & Business ,n/a,"L’économie (du grec ancien οἰκονομία / oikonomía : « administration d'un foyer ») est une activité humaine qui consiste en la production, la distribution, l'échange et la consommation de biens et de services. Source: https://fr.wikipedia.org/wiki/Economie",http://www.science-metrix.com/fr/classification ,n/a
Finance,Finance,n/a,Economics & Business ,n/a,"La finance recouvre un domaine d'activité — celui du financement — qui consiste à fournir l'argent nécessaire à la réalisation d'une opération économique. Ce domaine concerne aussi bien les individus, les ménages que les entreprises publiques ou privées, mais aussi les États. Source: https://fr.wikipedia.org/wiki/Finance",http://www.science-metrix.com/fr/classification ,n/a
Industrial Relations,Relations industrielles,n/a,Economics & Business ,n/a,"Les relations industrielles désignent la discipline qui étudie les phénomènes du monde du travail. Les fonctions propres au champ des relations industrielles sont: conseil, relations de travail, gestion des ressources humaines et recherche et planification. Source: https://fr.wikipedia.org/wiki/Relations_industrielles",http://www.science-metrix.com/fr/classification ,n/a
Logistics & Transportation,Logistique et transports,n/a,Economics & Business ,n/a,"1)La logistique est l'activité qui a pour objet de gérer les flux physiques, et les données (informatives, douanières et financières) s'y rapportant, dans le but de mettre à disposition les ressources correspondant à des besoins (plus ou moins) déterminés en respectant les conditions économiques et légales prévues, le degré de qualité de service attendu, les conditions de sécurité et de sûreté réputées satisfaisantes. 2)Le transport de quelque chose est le déplacement de celle-ci, objets, marchandises, ou d'individus (humains ou animaux) d'un endroit à un autre. Les modes de transport incluent l'aviation, le chemin de fer, le transport routier, le transport maritime, le transport par câble, l'acheminement par pipe-line et le transport spatial. Le mode dépend également du type de véhicule ou d'infrastructure utilisé. Les moyens de transport peuvent inclure l'automobile, la moto, le scooter, la bicyclette, la patinette, le bus, le métro, le tramway, le train, le camion, la marche à pied, l'hélicoptère, ou l'avion, etc. Le type de transport peut se caractériser par son appartenance au secteur public ou privé.  Sources: https://fr.wikipedia.org/wiki/Logistique ; https://fr.wikipedia.org/wiki/Transport",http://www.science-metrix.com/fr/classification ,n/a
Marketing,Marketing,n/a,Economics & Business ,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
"Sport, Leisure & Tourism","Sport, récréation et tourisme",n/a,Economics & Business ,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
Social Sciences,Sciences sociales,n/a,Economic & Social Sciences,Criminology ;  Cultural Studies ; Demography ; Education ; Family Studies ; Gender Studies ; Geography ; Information & Library Sciences ; International Relations ; Law ; Political Science & Public Administration ; Science Studies ; Social Sciences Methods ; Social Work ;,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
Criminology,Criminologie,n/a,Social Sciences,n/a,"La criminologie est l'étude scientifique de la nature, des causes, du développement et du contrôle criminel à la fois d'un point de vue individuel et social. C'est un champ interdisciplinaire qui étudie le phénomène criminel et qui fait appel à de nombreuses disciplines allant de la psychologie, au droit en passant par la sociologie (en particulier dans le domaine de la sociologie de la déviance) ou l'économie. Source: https://fr.wikipedia.org/wiki/Criminologie",http://www.science-metrix.com/fr/classification ,n/a
Cultural Studies,Sciences de la culture,n/a,Social Sciences,n/a,"Les cultural studies (« études culturelles », « sciences de la culture ») sont un courant de recherche d'origine anglophone à la croisée de la sociologie, de l'anthropologie culturelle, de la philosophie, de l’ethnologie, de la littérature, de la médiologie, des arts, etc. D'une visée transdisciplinaire, elles se présentent comme une « anti-discipline » à forte dimension critique, notamment en ce qui concerne les relations entre cultures et pouvoir. Source: https://fr.wikipedia.org/wiki/Cultural_studies",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
Demography,Démographie,n/a,Social Sciences,n/a,"La démographie (en grec δημογραφία, du grec ancien δήμος = demos signifiant « peuple » et de γραφή = graphein « écrire ») est l'étude quantitative des caractéristiques des populations et de leurs dynamiques, à partir de thèmes telles que la natalité, la fécondité, la mortalité, la nuptialité (ou conjugalité) et la migration. Source: https://fr.wikipedia.org/wiki/Démographie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-MZR2JN48-M
Education,Éducation,n/a,Social Sciences,n/a,"L'éducation est, étymologiquement, l'action de « guider hors de », c'est-à-dire développer, faire produire. Il signifie maintenant plus couramment l'apprentissage et le développement des facultés intellectuelles, morales et physiques, les moyens et les résultats de cette activité de développement. Source: https://fr.wikipedia.org/wiki/Éducation",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-N6RCN9TN-C
Family Studies,Études de la famille,n/a,Social Sciences,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
Gender Studies,Étude de genre,n/a,Social Sciences,n/a,"En sciences sociales et en médecine, le genre est un concept qui fait référence aux différences non biologiques (psychologiques, mentales, sociales, économiques, démographiques, politiques…) distinguant les femmes et les hommes. Source: https://fr.wikipedia.org/wiki/Genre",http://www.science-metrix.com/fr/classification ,n/a
Geography,Géographie,n/a,Social Sciences,n/a,"La géographie (du grec ancien γεωγραφία – geographia, composé de « η γη » (hê gê) la Terre et « γραφειν » (graphein) décrire) est l'étude d'une planète, ses terres, ses caractéristiques, ses habitants, et ses phénomènes. Source: https://fr.wikipedia.org/wiki/Géographie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-MZR2JN48-M
Information & Library Sciences,Bibliothéconomie et sciences de l'information,n/a,Social Sciences,n/a,"1)La bibliothéconomie est l'ensemble des techniques de gestion et d'organisation des bibliothèques. Le terme de bibliothéconomie est de plus en plus souvent délaissé au profit de l'expression sciences de l'information et des bibliothèques. Le premier ouvrage de bibliothéconomie en français est de Gabriel Naudé. C'est l'Advis pour dresser une bibliothèque; il contient les recommandations sur le fonctionnement d'une bibliothèque. 2)La science de l'information (ou les sciences de l'information) est une science interdisciplinaire, branche des sciences de l'information et de la communication ayant pour objet scientifique l'information. Ainsi, la science de l'information s'intéresse aux dispositifs de gestion de l'information (base de données, moteur de recherche, site web, etc.) et à la manière dont ils sont conçus, gérés et utilisés. Par extension, elle s'attache à explorer et faire évoluer les principes et les méthodes de recherche, de traitement, d'archivage et de communication de l'information pour en faciliter l'accès et l'usage.  Sources: https://fr.wikipedia.org/wiki/Bibliothéconomie ; https://fr.wikipedia.org/wiki/Science_de_l'information",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-5QZB00Z4-L
International Relations,Relations internationales,n/a,Social Sciences,n/a,"Les relations internationales sont aussi appelées études internationales (en anglais International Studies (IS)). Sous ces vocables, sont en général désignés l'étude des affaires étrangères et des grandes questions du système international : rôle des États, des organisations internationales, des organisations non gouvernementales (ONG) ainsi que des entreprises multinationales. Les relations internationales appartiennent à la fois au domaine académique et au domaine politique. Source: https://fr.wikipedia.org/wiki/Relations_internationales",http://www.science-metrix.com/fr/classification ,n/a
Law,Droit,n/a,Social Sciences,n/a,"Le droit est défini comme « l'ensemble des règles qui régissent la conduite de l'Homme en société, les rapports sociaux », ou de façon plus complète « l'ensemble des règles imposées aux membres d'une société pour que leurs rapports sociaux échappent à l'arbitraire et à la violence des individus et soient conformes à l'éthique dominante ». Source: https://fr.wikipedia.org/wiki/Droit",http://www.science-metrix.com/fr/classification ,
Political Science & Public Administration,Sciences politiques et administration publique,n/a,Social Sciences,n/a,"1)La science politique consiste à étudier les processus politiques mettant en jeu des rapports de pouvoir entre les individus, les groupes, et au sein de l'État, mais pas seulement. Des tendances contemporaines tentent de saisir les rapports de forces sur une base transnationale (par exemple, entre diasporas ou entre firmes multinationales) ainsi que certains courants postmodernes qui mettent l'accent sur le langage (philosophie du langage), sur la biopolitique, ou encore sur les conceptions genrées des individus. 2)L’administration publique, au singulier, est un champ d'étude de la science politique. Celle-ci étudie les formes d'organisations des États, de l'organisation de la démocratie, de la mise en œuvre des politiques publiques. En bref, tout ce qui touche l'action ou l'organisation de la sphère publique.  Sources: https://fr.wikipedia.org/wiki/Science_politique"">Science Politique ; https://fr.wikipedia.org/wiki/Administration_publique",http://www.science-metrix.com/fr/classification ,n/a
Science Studies,Études des sciences,n/a,Social Sciences,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-THGL5D4M-7
Social Sciences Methods,Méthodes des sciences sociales,n/a,Social Sciences,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
Social Work,Travail social,n/a,Social Sciences,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
Sociology,Sociologie,n/a,Social Sciences,n/a,"La sociologie peut être définie comme la branche des sciences humaines qui cherche à comprendre et à expliquer l'impact de la dimension sociale sur les représentations (façons de penser) et les comportements (façons d'agir) humains. Ses objets de recherche sont très variés puisque les sociologues s'intéressent à la fois au travail, à la famille, aux médias, aux relations, aux réseaux sociaux, aux rapports de genre (hommes/femmes), aux statuts et fonctions, aux religions, ou encore aux formes de cultures et d'ethnicités… Source: https://fr.wikipedia.org/wiki/Sociologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
General,Général,Catégorie  Sciences Metrics,n/a,n/a,n/a,http://www.science-metrix.com/fr/classification ,n/a
"General Arts, Humanities & Social Sciences","Arts et sciences humaines et sociales, général",n/a,General,"General Arts, Humanities & Social Sciences",n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
"General Arts, Humanities & Social Sciences","Arts et sciences humaines et sociales, général",n/a,n/a,n/a,"1)Les arts représentent une forme de l'expression humaine, généralement influencée par la culture et entraînée par une impulsion créatrice humaine. Les éléments majeurs des arts sont la littérature, le spectacle vivant, dont la musique, la danse et le théâtre, les arts culinaires telles que, par exemple, la cuisine, la chocolaterie et la vinification, les arts médiatiques comme la photographie et le cinéma ainsi que les arts visuels qui comprennent le dessin, la peinture et la sculpture. 2)Les sciences humaines et sociales sont un ensemble de disciplines étudiant divers aspects de la réalité humaine.   Sources: https://fr.wikipedia.org/wiki/Arts ; https://fr.wikipedia.org/wiki/Sciences_humaines_et_sociales",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
General Science & Technology,"Science et technologie, général",n/a,General,General Science & Technology,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-WBZ3PG46-L
General Science & Technology,"Science et technologie, général",n/a,n/a,n/a,"Les Études des sciences et technologies, mieux connues dans le monde anglo-saxon sous le nom de Science and technology studies (STS ou S&TS) désignent un programme de recherche interdisciplinaireen sciences sociales qui s'est développé durant les années 1960-1970. Source: https://fr.wikipedia.org/wiki/Études_des_sciences_et_technologies",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-WBZ3PG46-L
Health Sciences,Sciences de la santé,Catégorie  Sciences Metrics,n/a,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-FSP4VJRM-2
Biomedical Research,Recherche biomédicale,n/a,Health Sciences,Anatomy & Morphology ; Biochemistry & Molecular Biology ; Biophysics ; Developmental Biology ; Genetics & Heredity ; Microbiology ; Microscopy ; Mycology & Parasitology ; Nutrition & Dietetics ; Physiology ; Toxicology ; Virology,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-BN91K3W9-X
Anatomy & Morphology,Anatomie et morphologie,n/a,Anatomy & Morphology,n/a,"1)L’anatomie (emprunté au bas latin anatomia « dissection », issu du grec ἀνατέμνω (ànatémno)', de ἀνά – ana, « en remontant », et τέμνω – temnō, « couper ») est la science qui décrit la forme et la structure des organismes vivants et de leurs parties (organes, tissus). 2)En biologie, la morphologie (du grec μορφή morphé, « forme » avec le suffixe -logie, « discours ») est l'étude de la forme externe et de la structure des êtres vivants.  Sources: https://fr.wikipedia.org/wiki/Anatomie ; https://fr.wikipedia.org/wiki/Morphologie_(biologie)",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-Q1T9WQ2J-P
Biochemistry & Molecular Biology,Biochimie et biologie,n/a,Anatomy & Morphology,n/a,"1)La biochimie est l'étude des réactions chimiques qui se déroulent au sein des êtres vivants, et notamment dans les cellules. La complexité des processus chimiques biologiques est contrôlée à travers la signalisation cellulaire et les transferts d'énergie au cours du métabolisme. 2)La biologie (du grec bios « la vie » et logos, « discours ») est la science du vivant. Elle recouvre une partie des sciences de la nature et de l'histoire naturelle des êtres vivants.  Sources: https://fr.wikipedia.org/wiki/Biochimie ; https://fr.wikipedia.org/wiki/Biologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-N4XK6ZBT-C
Biophysics,Biophysique,n/a,Anatomy & Morphology,n/a,"La biophysique est une discipline à l'interface de la physique et la biologie où les outils d'observation des phénomènes physiques sont appliqués aux molécules d'origine biologique. À d'autres échelles, la description biophysique sert d'outil référentiel. Source: https://fr.wikipedia.org/wiki/Biophysique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6VW685P7-9
Developmental Biology,Biologie du développement,n/a,Anatomy & Morphology,n/a,"La biologie du développement est l'étude des processus par lesquels les organismes croissent et se développent. Elle étudie en particulier le contrôle génétiquede la croissance cellulaire, de la différenciation cellulaire et de la morphogenèse. Source: https://fr.wikipedia.org/wiki/Biologie_du_développement",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-Z277LFQL-P
Genetics & Heredity,Génétique et hérédité,n/a,Anatomy & Morphology,n/a,"1)La génétique (du grec genno γεννώ, « donner naissance ») est la science qui étudie l'hérédité et les gènes, c'est une sous-discipline de la biologie. 2)L’hérédité (du latin hereditas, « ce dont on hérite ») est la transmission, au sein d'une espèce vivante ou d'une lignée de cellules, de caractéristiques d'une génération à la suivante.  Sources: https://fr.wikipedia.org/wiki/Génétique"">Génétique ; https://fr.wikipedia.org/wiki/Hérédité",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-LMN091N5-L
Microbiology,Microbiologie,n/a,Anatomy & Morphology,n/a,"La microbiologie est un domaine des sciences appliquées qui a pour objet les micro-organismes et les activités qui les caractérisent. Plus spécifiquement, la microbiologie se consacre à l'identification et à la caractérisation des micro-organismes ; à l'étude de leur origine et de leur évolution ; à définir leurs caractéristiques, les produits de leurs activités et leurs besoins ; et à comprendre les relations qu’ils entretiennent entre eux et avec leur milieu naturel ou artificiel. Source: https://fr.wikipedia.org/wiki/Microbiologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-GR5CFG4W-5
Microscopy,Microscopie,n/a,Anatomy & Morphology,n/a,La microscopie est un ensemble de techniques d'imagerie des objets de petites dimensions. Source: https://fr.wikipedia.org/wiki/Microscopie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-KS0J7JST-T
Mycology & Parasitology,Mycologie et parasitologie,n/a,Anatomy & Morphology,n/a,"1)La mycologie (du grec ancien µύκης ; « champignon ») est la science étudiant les champignons. 2)La parasitologie est l'étude des parasites, de leurs hôtes et de leurs interactions mutuelles.  Sources: https://fr.wikipedia.org/wiki/"">Mycologie ; https://fr.wikipedia.org/wiki/Parasitologie"">Parasitologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-L77MBF9P-H
Nutrition & Dietetics,Nutrition et diététique,n/a,Anatomy & Morphology,n/a,"1)La nutrition (du latin nutrire : nourrir) est l'ensemble des processus par lesquels un être vivant transforme des aliments pour assurer son fonctionnement. La nutrition est également une science pluridisciplinaire, comportant deux grands axes. La physiologie de la nutrition traite de la façon dont l'organisme opère la transformation des aliments, c'est-à-dire des processus métaboliques. La psychologie de la nutrition analyse le comportement alimentaire de l'individu ou du groupe. 2)La diététique est la science de l’alimentation équilibrée. Si la nutrition se définit comme la science qui analyse les rapports entre la nourriture et la santé, la diététique y intègre une dimension culturelle liée aux pratiques alimentaires.  Sources: https://fr.wikipedia.org/wiki/Nutrition"">Nutrition ; https://fr.wikipedia.org/wiki/Diététique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-LNQ34V9X-4
Physiology,Physiologie,n/a,Anatomy & Morphology,n/a,"La physiologie (du grec φύσις, phusis, la nature, et λόγος, logos, l'étude, la science) étudie le rôle, le fonctionnement et l'organisation mécanique, physique et biochimique des organismes vivants et de leurs composants (organes, tissus, cellules et organites cellulaires). La physiologie étudie également les interactions entre un organisme vivant et son environnement. Source: https://fr.wikipedia.org/wiki/Physiologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-Q1T9WQ2J-P
Toxicology,Toxicologie,n/a,Anatomy & Morphology,n/a,"La toxicologie est une discipline scientifique qui étudie les effets néfastes d'une source — molécule, radiation, nanomatériaux, etc. — sur des organismes ou des systèmes biologiques. Elle est à l'interface entre plusieurs disciplines — chimie, physiopathologie, pharmacocinétique, pharmacologie, médecine, etc. —, la toxicologie s'applique à un toxique ou une association comme un produit fini qui contient plusieurs constituants. Source: https://fr.wikipedia.org/wiki/Toxicologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-NG7C6L16-T
Virology,Virologie,n/a,Anatomy & Morphology,n/a,"La virologie est l'étude des virus et des agents infectieux associés. Elle cherche à décrire leurs structures, évolutions, les mécanismes leur permettant d'infecter les cellules et de mettre à profit les mécanismes cellulaires pour se reproduire, afin de les classer. Source: https://fr.wikipedia.org/wiki/Virologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-L77MBF9P-H
Clinical Medicine,Médecine clinique,n/a,Health Sciences,Allergy ; Anesthesiology ; Arthritis & Rheumatology ; Cardiovascular System & Hematology ; Complementary & Alternative Medicine ; Dentistry ; Dermatology & Venereal Diseases ; Emergency & Critical Care Medicine ; Endocrinology & Metabolism ; Environmental & Occupational Health ; Gastroenterology & Hepatology ; General & Internal Medicine ; General Clinical Medicine ; Geriatrics ;  Immunology ; Legal & Forensic Medicine ; Neurology & Neurosurgery ; Nuclear Medicine & Medical Imaging ; Obstetrics & Reproductive ; Oncology & Carcinogenesis Medicine ; Orthopedics ; Otorhinolaryngology ; Pathology ; Pediatrics ; Pharmacology & Pharmacy ; Psychiatry ; Respiratory System ; Sport Sciences ; Surgery ; Tropical Medicine ; Urology & Nephrology,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Allergy,Allergologie,n/a,Clinical Medicine,n/a,"L'allergologie est une spécialité médicale de fonction prenant en charge les maladies provoquées par une réponse spécifique anormale de l'organisme à son environnement normalement bien toléré. Source: https://fr.wikipedia.org/wiki/Allergologie"">Allergologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V0VPJNQH-H
Anesthesiology,Anesthésiologie,n/a,Clinical Medicine,n/a,L’anesthésiologie comprend actuellement l’étude concomitante de l’anesthésie proprement dite et celle de la réanimation. Source: https://fr.wiktionary.org/wiki/Anesthésiologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-GTT0284P-0
Arthritis & Rheumatology,Arthrite et rhumatologie,n/a,Clinical Medicine,n/a,"La rhumatologie est une spécialité médicale qui s'intéresse au diagnostic et au traitement des maladies de l'appareil locomoteur, c'est-à-dire des maladies des os, des articulations, des muscles, des tendons et desligaments, mais les rhumatologues (médecins spécialisés en rhumatologie) soignent également certaines affections neurologiques périphériques comme la sciatique et surtout l'ensemble des rhumatismes inflammatoires, maladies auto-immunes qui peuvent avoir de nombreuses manifestations extra-articulaires : peau, yeux, reins, poumons, etc. Source: https://fr.wikipedia.org/wiki/Rhumatologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-T20RGM17-1
Cardiovascular System & Hematology,Système cardiovasculaire et hématologie,n/a,Clinical Medicine,n/a,"L'hématologie est la branche de la médecine qui étudie le sang et ses maladies (ou hémopathies). Elle étudie plus particulièrement les cellules sanguines dont l'origine est hématopoïétique (synthèse de ces cellules dans la moelle osseuse) et qui ont un rôle pour l'oxygénation, l'immunité et la coagulation, et étudie également certaines molécules plasmatiques que sont les facteurs de coagulation. Source: https://fr.wikipedia.org/wiki/Hématologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CSJH9RD8-K
Complementary & Alternative Medicine,Médecine alternative,n/a,Clinical Medicine,n/a,"L'expression médecine non conventionnelle désigne une grande variété de méthodes de traitement, souvent issues de traditions anciennes (exemple : phytothérapie, acupuncture, médecine ayurvédique) ou de pratiques ayant émergé aux environs du xixe siècle (exemple : hypnose, ostéopathie, homéopathie). On utilise également médecines alternatives, médecines parallèles, pseudo-médecines, médecines holistiques, médecines traditionnelles, médecines naturelles ou médecines douces. L'Académie de médecine française utilise « thérapies complémentaires ». Source: https://fr.wikipedia.org/wiki/Médecine_non_conventionnelle",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Dentistry,Dentisterie,n/a,Clinical Medicine,n/a,"L’odontologie est la spécialité médicale et chirurgicale couvrant l'étude de l'organe dentaire (émail, dentine, pulpe dentaire), des maxillaires (os maxillaire, os mandibulaire) et des tissus attenants. Les termes odontologie, médecine dentaire, chirurgie dentaire, art dentaire et dentisterie sont synonymes. Source: https://fr.wikipedia.org/wiki/Odontologie",http://www.science-metrix.com/fr/classification ,n/a
Dermatology & Venereal Diseases,Dermatologie et maladies vénériennes,n/a,Clinical Medicine,n/a,"La dermatologie est la branche de la médecine qui s'occupe de la peau, des muqueuses et des phanères (ongles, cheveux, poils). Elle est associée traditionnellement à la vénérologie, c’est-à-dire l'étude des maladies vénériennes ou infections sexuellement transmissibles (IST). Source: https://fr.wikipedia.org/wiki/Dermatologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-B4ZPGTG3-6
Emergency & Critical Care Medicine,Urgentologie et soins intensifs,n/a,Clinical Medicine,n/a,"La médecine d'urgence rassemble les ressources médicales et chirurgicales pour faire face à une urgence, c'est-à-dire la perception d'une situation où la personne sans soins empire rapidement, exposée au risque à bref délai de séquelles irréversibles ou du décès. Source: https://fr.wikipedia.org/wiki/Médecine_d'urgence",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Endocrinology & Metabolism,Endocrinologie et métabolisme,n/a,Clinical Medicine,n/a,"1)L'endocrinologie est la science de la médecine qui étudie les hormones. Son nom signifie : l'étude (logos) de la sécrétion (crine) interne (endo). 2)Le métabolisme est l'ensemble des réactions chimiques qui se déroulent au sein d'un être vivant pour lui permettre notamment de se maintenir en vie, de se reproduire, de se développer et de répondre aux stimulus de son environnement.  Sources: https://fr.wikipedia.org/wiki/Endocrinologie ; https://fr.wikipedia.org/wiki/Métabolisme",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PQGVMRHP-B
Environmental & Occupational Health,Hygiène du travail et de l'environnement,n/a,Clinical Medicine,n/a,"L’hygiène du travail (ou «hygiène industrielle» aux États-Unis) est généralement définie comme l'art et la science consacrée à l'anticipation, la reconnaissance, l'évaluation, la communication et le contrôle des facteurs de stress environnementaux dus au lieu de travail et pouvant entraîner des blessures, une maladie, une atteinte physique, ou affectant le bien-être des travailleurs et des membres de la communauté. Source: https://fr.wikipedia.org/wiki/Hygiène_du_travail",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Gastroenterology & Hepatology,Gastroentérologie et hépatologie,n/a,Clinical Medicine,n/a,"1)La gastro-entérologie est la spécialité médicale qui étudie l'appareil digestif et ses maladies. 2)L'hépatologie est la branche de la médecine qui s'intéresse aux maladies hépatobiliaires, c'est-à-dire aux maladies du foie (hepar) et des voies biliaires et de la rate.  Sources: https://fr.wikipedia.org/wiki/Gastro-entérologie"">Gastro-entérologie ; https://fr.wikipedia.org/wiki/Hépatologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-J9RH72VD-3
General & Internal Medicine,Médecine générale et interne,n/a,Clinical Medicine,n/a,"1)La médecine générale est une spécialité médicale prenant en charge le suivi durable, le bien-être et les soins médicaux généraux primaires d'une communauté, sans se limiter à des groupes de maladies relevant d'un organe, d'un âge, ou d'un sexe particulier. 2)La médecine interne est une spécialité médicale. Elle s'intéresse au diagnostic et à la prise en charge globale des maladies de l'adulte avec une prédilection pour les maladies systémiques (par exemple le lupus érythémateux disséminé) et les maladies auto-immunes en général. Sources: https://fr.wikipedia.org/wiki/Médecine_générale"">Médecine Générale ; https://fr.wikipedia.org/wiki/Médecine_interne",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
